name-pr,version,name,loc,bug
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.SplitTransaction,390,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestStoreFile,462,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestWALReplay,233,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestFromClientSide,2929,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestCompaction,175,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.HMerge,182,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestMasterFailover,463,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.StoreFile,691,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestWALReplay,231,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestSplitTransaction,76,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.FSUtils,545,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.FSUtils,540,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.TestSlabCache,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestDefaultLoadBalancer,197,no
hadoop,0.92RC0,org.apache.hadoop.hbase.monitoring.TaskMonitor,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.regionserver.ReplicationSourceManager,266,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestServerCustomProtocol,85,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestMergeTool,41,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.AssignmentManager,1715,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.security.TestUser,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.StoreFile,697,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestHRegion,2198,no
hadoop,0.92RC0,org.apache.hadoop.hbase.executor.TestExecutorService,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestBlocksRead,54,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.TestHFileBlockIndex,266,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestHBaseFsck,65,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestHBaseFsck,64,no
hadoop,0.92RC0,org.apache.hadoop.hbase.security.TestUser,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.JVMClusterUtil,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.thrift.TestThriftServer,113,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestScanWildcardColumnTracker,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.ScannerCallable,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.HMaster,920,no
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.TestMasterReplication,98,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.JVMClusterUtil,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestRollingRestart,175,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.Store,1006,no
